Feature Name,12,24,36,48,60
DX: AD,0.0396958554887985,0.0333093039062658,0.0257895856004509,0.0182842160779279,0.014151627444344
CDRSB,0.0309203727172424,0.0272114256534859,0.0170439395325564,0.0084607382364878,5.578019000763864e-05
ADAS11,0.0371333073257174,0.0341326748740781,0.0218023791930654,0.014195062227836,0.0088868437850675
ADAS13,0.045498935843913,0.0428211494808165,0.0321302081962581,0.0270418888640483,0.0226524067980332
MMSE,0.0343677200724596,0.0315519463319552,0.0204911310087281,0.0109633541619802,0.0010560222270731
RAVLT_learning,0.0202058862910445,0.0199063904383604,0.0183404634284513,0.0221089752516996,0.0205234887464624
RAVLT_perc_forgetting,0.0359579017625449,0.0353971305167891,0.0311325910890336,0.0366937700505215,0.0306004757138926
RAVLT_immediate,0.0157128699063412,0.015516911044604,0.0133264402412375,0.0148550931994577,0.0133493865987073
ICV,0.0120464447140201,0.012432442571437,0.0163127289303226,0.0206516684009854,0.0240259619787402
Ventricles,0.0012269301160239,0.003941687207585,0.0064194553432456,0.0085575831965314,0.0097194700069248
