Feature Name,CN Mean,CN Std,MCI Mean,MCI Std,AD Mean,AD Std,Combined Mean,Combined Std
DX: CN,0.19369674209719454,0.17883045293717062,0.08164409633515299,0.16463940997444682,0.0,0.0,0.09421671648496105,0.16254525344843965
DX: MCI,-0.2017848486493363,0.31790260184600966,-0.346102831526235,0.2770620327548092,-0.0755633055891256,0.10866651323373715,-0.2094046876204362,0.2762764781108557
DX: AD,0.0,0.0,-0.0015227570862514743,0.008541261144887968,-0.010174761652385792,0.01300469344566292,-0.003771188489578639,0.009915737866254616
ADAS11,0.048697647754937144,0.03049028489743767,0.039010771205560915,0.04041117175449554,-0.016098327984739917,0.02432404197639088,0.024685074045248653,0.04309385978681111
MMSE,0.03278507573148968,0.02350589553158506,0.030271857518989972,0.03280407868072341,-0.00822575815609152,0.02361316347966883,0.018792917910551783,0.03277916661368709
RAVLT_immediate,0.09640391148560509,0.06738752655054962,0.004593694420921429,0.09072317654660124,-0.03539920118022408,0.027347406079773987,0.023524035697016905,0.08731932164181114
RAVLT_learning,0.011901976556340765,0.03027309073181014,0.010434692125554845,0.035935461005847984,-0.008935447565488613,0.009588130172299605,0.0047291796692655935,0.02941928595882303
RAVLT_forgetting,-0.02473470564419427,0.07278924083478373,-0.008098869706206073,0.04797935331261471,0.0010189678858717021,0.005785578448188565,-0.01092881473383742,0.052203457953279186
RAVLT_perc_forgetting,0.015617175850494826,0.023855310776670385,0.006441612930313527,0.03683223975086241,-0.012669144752687376,0.010441869938799067,0.0034856841175897888,0.028662850899979674
MOCA,0.02789948930394863,0.02875461291920775,0.006210791443083751,0.030437047659437312,-0.003166053683184076,0.00719103379120917,0.01070550390162406,0.02796636555359172
FAQ,0.07535060989920234,0.03786891497786167,0.05643489523235341,0.07472862463301458,-0.023852982691083345,0.04654294733132248,0.03722535141211075,0.06981933205739553
Entorhinal,0.031181298901273313,0.04788613441104013,0.016763722038574184,0.06520597652334885,-0.006462376045518159,0.008808997705320145,0.01430105364335244,0.04974171332757341
Fusiform,-0.018322421532829127,0.03657071298888075,-0.007605022429688203,0.04140892271902979,0.001617005440094539,0.009215084929572412,-0.008354289909649404,0.03358396066952571
Hippocampus,-0.0030145009426812857,0.01637867585765607,0.0017541397840950507,0.019047369295611637,0.0007724587248311828,0.012778247082313217,-0.00021026885738391614,0.016444421380327836
ICV,-0.011728417952509241,0.041744994047302045,0.013227173540036948,0.06677120932980299,0.012789613331314427,0.046112672796646104,0.004454386730383558,0.05393983868201186
MidTemp,-0.01640016183575147,0.04257557525556311,-0.010794624851949604,0.03592663356741224,0.0025744622031475687,0.0066415230880288645,-0.008445449344397069,0.033676355163010485
Ventricles,-0.0016127017751756292,0.00993678920547891,0.006051102279248197,0.012972881754236922,0.002682044617149743,0.005592247431632433,0.0023194597398750426,0.01050319957945409
WholeBrain,-0.012331906917528206,0.0474198557064943,-0.01577231016600468,0.05900211259766523,-0.001984700377639995,0.020911849080767448,-0.010159792695106536,0.04595743113245161
AV45,0.015952460287858402,0.031068531640027354,0.009010221758627597,0.0301123245082268,-0.00370514232601603,0.007996777424130599,0.007333112015173942,0.026877005643347267
FDG,0.04661678627013774,0.06019740584481466,0.024489232526288644,0.07291355214265803,-0.004299672519284446,0.011241968752408802,0.022909240693505452,0.05915125396841947
ABETA_UPENNBIOMK9_04_19_17,0.0745417251172267,0.11781218649754224,0.004941477278205966,0.10237730486697158,-0.013322483651059307,0.012613141432361077,0.023158783087977114,0.09897818388275145
TAU_UPENNBIOMK9_04_19_17,-0.010657004544164385,0.0253800498877479,-0.002638949407374804,0.023616539412438842,0.0007839425069407016,0.0024760572180719566,-0.004314581765194529,0.02082995324884923
PTAU_UPENNBIOMK9_04_19_17,-0.006579481827252656,0.012040663567715514,0.0009121068470508661,0.023608000540015994,0.0017516601904690916,0.0027226092382118526,-0.001410032502460858,0.015891948098663452
